symbol,_priceFormat,_priceFormatType,_tickSize,buyFillId,sellFillId,qty,buyPrice,sellPrice,pnl,boughtTimestamp,soldTimestamp,duration
MNQU2,-2,0,0.25,952810192,952810264,1,11800.25,11815.25,$30.00,07/13/2022 15:11:25,07/13/2022 15:21:47,10min 21sec
MNQU2,-2,0,0.25,952810325,952810353,1,11798.25,11795.00,$(6.50),07/13/2022 15:25:57,07/13/2022 15:26:26,29sec
MNQU2,-2,0,0.25,952810380,952810409,1,11779.50,11766.50,$(26.00),07/13/2022 15:30:48,07/13/2022 15:34:02,3min 14sec
MNQU2,-2,0,0.25,952810425,952810452,1,11771.00,11766.75,$(8.50),07/13/2022 15:34:10,07/13/2022 15:34:59,48sec
MNQU2,-2,0,0.25,952810468,952810526,1,11772.50,11770.00,$(5.00),07/13/2022 15:35:37,07/13/2022 15:41:59,6min 21sec
MNQU2,-2,0,0.25,952810600,952810705,1,11758.75,11787.50,$57.50,07/13/2022 15:50:06,07/13/2022 15:57:46,7min 39sec
MNQU2,-2,0,0.25,952810610,952810722,1,11758.00,11758.25,$0.50,07/13/2022 15:50:06,07/13/2022 15:59:54,9min 47sec
MNQU2,-2,0,0.25,952810770,952810810,1,11700.75,11694.25,$(13.00),07/13/2022 18:41:15,07/13/2022 18:44:30,3min 14sec
MNQU2,-2,0,0.25,952810822,952810844,1,11694.00,11668.75,$(50.50),07/13/2022 19:23:33,07/13/2022 19:39:50,16min 16sec
MNQU2,-2,0,0.25,952810860,952810907,1,11688.00,11743.00,$110.00,07/13/2022 20:10:06,07/13/2022 23:04:35,2h 54min 29sec
MNQU2,-2,0,0.25,952810927,952810945,1,11689.00,11664.00,$(50.00),07/14/2022 03:05:38,07/14/2022 04:00:13,54min 34sec
MNQU2,-2,0,0.25,952810974,954186021,1,11647.75,11647.50,$(0.50),07/14/2022 06:54:33,07/14/2022 07:08:10,13min 36sec
MNQU2,-2,0,0.25,954186108,954186332,1,11642.50,11622.50,$(40.00),07/14/2022 07:11:45,07/14/2022 08:07:33,55min 47sec
MNQU2,-2,0,0.25,954186248,954186341,1,11634.75,11622.50,$(24.50),07/14/2022 07:36:11,07/14/2022 08:07:33,31min 21sec
MNQU2,-2,0,0.25,954186360,954186463,1,11625.25,11651.50,$52.50,07/14/2022 08:08:57,07/14/2022 08:20:30,11min 33sec
MNQU2,-2,0,0.25,954186386,954186496,1,11625.50,11635.50,$20.00,07/14/2022 08:08:57,07/14/2022 08:23:39,14min 41sec
MNQU2,-2,0,0.25,954186572,954186602,1,11571.50,11551.75,$(39.50),07/14/2022 09:36:45,07/14/2022 09:37:50,1min 5sec
MNQU2,-2,0,0.25,954186633,954186665,1,11563.75,11549.00,$(29.50),07/14/2022 09:40:57,07/14/2022 09:41:47,50sec
MNQU2,-2,0,0.25,954186698,954186747,1,11573.25,11559.50,$(27.50),07/14/2022 09:42:33,07/14/2022 09:45:06,2min 33sec
MNQU2,-2,0,0.25,954186759,954186832,1,11571.75,11581.00,$18.50,07/14/2022 09:45:28,07/14/2022 09:54:58,9min 30sec
MNQU2,-2,0,0.25,954186795,954186844,1,11601.00,11546.25,$(109.50),07/14/2022 09:53:08,07/14/2022 10:01:02,7min 54sec
MNQU2,-2,0,0.25,954186874,954186943,1,11518.25,11728.00,$419.50,07/14/2022 10:06:21,07/14/2022 13:50:32,3h 44min 11sec
MNQU2,-2,0,0.25,954186987,954186960,1,11936.25,11931.25,$(10.00),07/15/2022 09:30:36,07/15/2022 09:30:32,3sec
MNQU2,-2,0,0.25,955158004,955158042,1,11944.25,11938.25,$(12.00),07/15/2022 09:31:27,07/15/2022 09:31:54,27sec
MNQU2,-2,0,0.25,955158109,955158087,1,11990.00,11977.00,$(26.00),07/15/2022 11:15:40,07/15/2022 11:09:19,6min 21sec
