symbol,direction,_tickSize,qty,buyPrice,sellPrice,priceSpread,pnl,commisions,netPNL,runningNetPNL,boughtTimestamp,soldTimestamp,duration
MNQH2,Short,0.25,1,14270.5,14270.5,0,,-1.32,1.32,730.0500000000565,2022-02-11T16:55:01Z,2022-02-11T16:53:50Z,1m10s
MNQH2,Short,0.25,1,14270.75,14270.5,-0.25,,-1.32,0.8200000000000001,730.8700000000565,2022-02-11T16:55:01Z,2022-02-11T16:53:50Z,1m10s
MNQH2,Short,0.25,1,14271,14270.25,-0.75,,-1.32,-0.17999999999999994,730.6900000000566,2022-02-11T16:55:01Z,2022-02-11T16:53:50Z,1m10s
MNQH2,Short,0.25,1,14271,14270.25,-0.75,,-1.32,-0.17999999999999994,730.5100000000566,2022-02-11T16:55:01Z,2022-02-11T16:53:50Z,1m10s
MNQH2,Long,0.25,1,14287.75,14267.5,-20.25,,-1.32,-39.18,691.3300000000567,2022-02-11T16:57:03Z,2022-02-11T16:57:27Z,24s
MNQH2,Long,0.25,1,14287.75,14267.5,-20.25,,-1.32,-39.18,652.1500000000567,2022-02-11T16:57:03Z,2022-02-11T16:57:27Z,24s
MNQH2,Long,0.25,1,14287.75,14267.25,-20.5,,-1.32,-39.68,612.4700000000568,2022-02-11T16:57:03Z,2022-02-11T16:57:27Z,24s
MNQH2,Long,0.25,1,14288,14267.25,-20.75,,-1.32,-40.18,572.2900000000568,2022-02-11T16:57:03Z,2022-02-11T16:57:27Z,24s
MNQH2,Long,0.25,1,14271.25,14251,-20.25,,-1.32,-39.18,533.1100000000569,2022-02-11T16:58:11Z,2022-02-11T16:59:31Z,1m19s
MNQH2,Long,0.25,1,14271.25,14251,-20.25,,-1.32,-39.18,493.93000000005685,2022-02-11T16:58:11Z,2022-02-11T16:59:31Z,1m19s
MNQH2,Long,0.25,1,14271.25,14251,-20.25,,-1.32,-39.18,454.75000000005684,2022-02-11T16:58:11Z,2022-02-11T16:59:31Z,1m19s
MNQH2,Long,0.25,1,14271.25,14250.75,-20.5,,-1.32,-39.68,415.07000000005684,2022-02-11T16:58:11Z,2022-02-11T16:59:31Z,1m19s
MNQH2,Short,0.25,4,14231.5,14242,10.5,,-5.28,89.28,504.35000000005687,2022-02-11T17:00:35Z,2022-02-11T16:59:39Z,55s
MNQH2,Short,0.25,1,14280.75,14264.75,-16,,-1.32,-30.68,473.67000000005686,2022-02-14T10:42:01Z,2022-02-14T10:41:03Z,58s
MNQH2,Short,0.25,1,14287.75,14252.25,-35.5,,-1.32,-69.68,403.99000000005685,2022-02-14T10:49:16Z,2022-02-14T10:47:50Z,1m26s
MNQH2,Short,0.25,1,14282.25,14316.25,34,,-1.32,69.32,473.31000000005685,2022-02-14T11:00:11Z,2022-02-14T10:55:22Z,4m49s
MNQH2,Short,0.25,1,14287.25,14295.5,8.25,,-1.32,17.82,491.13000000005684,2022-02-14T11:29:18Z,2022-02-14T11:12:02Z,17m16s
MNQH2,Short,0.25,1,14265.5,14266,0.5,,-1.32,2.3200000000000003,493.45000000005683,2022-02-14T11:41:23Z,2022-02-14T11:30:59Z,10m24s
MNQH2,Short,0.25,1,14307,14307,0,,-1.32,1.32,494.7700000000568,2022-02-14T12:04:15Z,2022-02-14T11:49:59Z,14m15s
MNQH2,Short,0.25,1,14295,14296.5,1.5,,-1.32,4.32,499.0900000000568,2022-02-14T12:16:07Z,2022-02-14T12:07:31Z,8m36s
MNQH2,Short,0.25,1,14373,14349.75,-23.25,,-1.32,-45.18,453.9100000000568,2022-02-14T12:28:52Z,2022-02-14T12:23:05Z,5m47s
